city,country,id,latitude,longitude,temp_f,humidity,cloudiness,wind_speed,date
jamestown,sh,3370903.0,-15.94,-5.72,76.99,100.0,32.0,17.45,1553459646.0
tevaitoa,pf,4033375.0,-16.78,-151.5,84.64,96.0,92.0,12.86,1553459646.0
husavik,is,2629833.0,66.04,-17.34,32.0,99.0,75.0,12.75,1553457600.0
cabo san lucas,mx,3985710.0,22.89,-109.91,78.8,41.0,5.0,10.29,1553459120.0
aleksandrovka,ru,558799.0,51.63,41.9,21.19,81.0,24.0,4.92,1553459647.0
ushibuka,jp,1849154.0,32.19,130.02,45.22,100.0,92.0,5.59,1553459648.0
nanortalik,gl,3421765.0,60.14,-45.24,32.89,93.0,92.0,40.71,1553459648.0
riverton,nz,2206957.0,-46.35,168.02,61.0,92.0,64.0,7.38,1553459407.0
lagoa,pt,2267254.0,37.14,-8.45,62.19,77.0,0.0,5.82,1553459533.0
humberto de campos,br,3398428.0,-2.6,-43.46,81.13,94.0,92.0,10.18,1553459649.0
olinda,br,3456160.0,-22.82,-43.41,84.43,55.0,20.0,11.41,1553459413.0
cherskiy,ru,2126199.0,68.75,161.3,-11.75,37.0,0.0,4.14,1553459650.0
svetlogorsk,ru,584051.0,53.14,59.15,26.6,86.0,20.0,2.24,1553457600.0
am timan,td,245338.0,11.04,20.28,87.7,38.0,88.0,1.79,1553459651.0
komsomolskiy,ru,1486910.0,67.55,63.78,30.64,92.0,88.0,14.99,1553459583.0
msowero,tz,152933.0,-6.53,37.2,82.4,58.0,20.0,6.93,1553454000.0
mahebourg,mu,934322.0,-20.41,57.7,78.49,83.0,75.0,9.17,1553459639.0
alofi,nu,4036284.0,-19.06,-169.92,80.6,65.0,40.0,13.87,1553457600.0
kirakira,sb,2178753.0,-10.46,161.92,82.48,100.0,92.0,6.6,1553459443.0
sayla,in,1256929.0,22.55,71.48,78.34,32.0,0.0,10.4,1553459653.0
karratha,au,6620339.0,-20.74,116.85,76.18,89.0,92.0,32.55,1553459653.0
atuona,pf,4020109.0,-9.8,-139.03,82.12,100.0,36.0,15.99,1553459653.0
puerto ayora,ec,3652764.0,-0.74,-90.35,82.09,74.0,20.0,9.17,1553459412.0
ahipara,nz,2194098.0,-35.17,173.16,68.26,86.0,0.0,6.15,1553459654.0
emerald,au,2167426.0,-23.53,148.16,70.16,88.0,8.0,3.36,1553459305.0
stony plain,ca,6157536.0,53.53,-114.0,34.54,80.0,90.0,6.93,1553459642.0
hithadhoo,mv,1282256.0,-0.6,73.08,84.37,100.0,92.0,8.61,1553459627.0
mayo,ca,6068416.0,63.59,-135.9,39.2,86.0,90.0,5.82,1553457600.0
wukari,ng,2318921.0,7.87,9.78,84.91,58.0,68.0,14.32,1553459656.0
warrington,us,5205788.0,40.25,-75.13,60.15,19.0,1.0,12.75,1553459404.0
port blair,in,1259385.0,11.67,92.75,82.21,100.0,8.0,8.39,1553459577.0
pochutla,mx,3517970.0,15.74,-96.47,88.09,49.0,20.0,7.61,1553459522.0
berlevag,no,780687.0,70.86,29.09,31.84,86.0,75.0,31.09,1553457000.0
beni suef,eg,359173.0,29.07,31.1,60.97,42.0,0.0,14.65,1553459531.0
saldanha,za,3361934.0,-33.01,17.94,64.4,82.0,0.0,9.17,1553454000.0
chuy,uy,3443061.0,-33.69,-53.46,69.25,69.0,0.0,18.68,1553459658.0
tuatapere,nz,2180815.0,-46.13,167.69,61.0,92.0,68.0,3.8,1553459407.0
wanning,cn,1791779.0,18.8,110.4,75.1,99.0,80.0,1.57,1553459659.0
mareeba,au,2158767.0,-16.99,145.42,72.19,94.0,40.0,6.93,1553459151.0
eyl,so,60019.0,7.98,49.82,76.45,100.0,88.0,6.71,1553459660.0
vila velha,br,6320062.0,-3.71,-38.6,81.79,78.0,75.0,6.93,1553459303.0
sao filipe,cv,3374210.0,14.9,-24.5,69.7,100.0,0.0,10.4,1553459660.0
mumbwa,zm,904422.0,-14.99,27.06,74.74,54.0,80.0,8.28,1553459660.0
lompoc,us,5367788.0,34.64,-120.46,65.14,63.0,1.0,11.41,1553459609.0
namatanai,pg,2090021.0,-3.66,152.44,79.69,100.0,68.0,6.15,1553459661.0
kuala terengganu,my,1734705.0,5.33,103.14,80.11,88.0,75.0,3.36,1553457600.0
kharp,ru,1503726.0,66.82,65.8,19.75,78.0,20.0,10.51,1553459662.0
castro,cl,3896218.0,-42.48,-73.76,59.0,67.0,20.0,11.41,1553457600.0
aasiaat,gl,3424901.0,68.71,-52.87,22.0,82.0,44.0,26.84,1553459662.0
iguape,br,3461465.0,-24.7,-47.56,78.34,93.0,0.0,9.62,1553459663.0
yerbogachen,ru,2012956.0,61.28,108.01,-2.66,71.0,0.0,2.57,1553459663.0
okhotsk,ru,2122605.0,59.36,143.24,14.8,86.0,36.0,4.7,1553459664.0
arraial do cabo,br,3471451.0,-22.97,-42.02,81.48,65.0,20.0,9.17,1553457600.0
onguday,ru,1496130.0,50.75,86.14,24.88,78.0,76.0,2.46,1553459665.0
narsaq,gl,3421719.0,60.91,-46.05,32.0,85.0,76.0,57.49,1553457000.0
caiaponia,br,3468234.0,-16.96,-51.81,81.4,76.0,44.0,4.7,1553459665.0
bredasdorp,za,1015776.0,-34.53,20.04,66.81,82.0,0.0,3.36,1553459412.0
whitianga,nz,2179103.0,-36.83,175.7,71.01,83.0,36.0,3.0,1553459411.0
san patricio,mx,3985168.0,19.22,-104.7,82.4,69.0,5.0,11.41,1553456760.0
makakilo city,us,5850554.0,21.35,-158.09,78.66,47.0,1.0,9.17,1553459244.0
saint george,bm,3573061.0,32.38,-64.68,63.79,48.0,40.0,11.41,1553459516.0
gayny,ru,561698.0,60.3,54.33,31.54,90.0,76.0,7.94,1553459667.0
virginia beach,us,4791259.0,36.85,-75.98,67.57,38.0,40.0,12.75,1553459426.0
pitimbu,br,3391889.0,-7.47,-34.81,84.2,74.0,20.0,11.41,1553457600.0
vallenar,cl,3868633.0,-28.58,-70.76,71.14,73.0,0.0,2.91,1553459668.0
nikolskoye,ru,546105.0,59.7,30.79,33.67,69.0,0.0,6.71,1553459478.0
saskylakh,ru,2017155.0,71.97,114.09,-16.79,48.0,56.0,2.91,1553459668.0
tessalit,ml,2449893.0,20.2,1.01,75.55,20.0,92.0,4.59,1553459640.0
axim,gh,2303611.0,4.87,-2.24,84.46,93.0,92.0,12.41,1553459669.0
camopi,gf,3382226.0,3.17,-52.33,75.37,95.0,80.0,3.24,1553459669.0
inuvik,ca,5983607.0,68.36,-133.71,23.13,54.0,40.0,4.7,1553457600.0
ancud,cl,3899695.0,-41.87,-73.83,59.0,67.0,20.0,11.41,1553457600.0
agbor,ng,2351979.0,6.26,6.15,82.75,62.0,20.0,10.29,1553459671.0
grindavik,is,3416888.0,63.84,-22.43,32.72,100.0,75.0,5.82,1553459382.0
grand gaube,mu,934479.0,-20.01,57.66,78.87,83.0,75.0,9.17,1553459639.0
wad rawah,sd,364071.0,15.16,33.13,82.03,19.0,0.0,13.65,1553459672.0
marsa matruh,eg,352733.0,31.35,27.25,59.0,58.0,0.0,16.11,1553454000.0
norman wells,ca,6089245.0,65.28,-126.83,28.4,63.0,90.0,9.17,1553457600.0
waingapu,id,1622318.0,-9.65,120.26,77.17,93.0,64.0,7.72,1553459444.0
sociedad,sv,3583111.0,13.7,-88.01,95.0,39.0,0.0,9.17,1553457000.0
katsuura,jp,1865309.0,33.93,134.5,39.2,80.0,75.0,11.41,1553457600.0
hamilton,us,5655959.0,46.25,-114.15,50.65,59.0,88.0,1.01,1553459567.0
mountain home,us,5601615.0,43.13,-115.69,45.25,100.0,90.0,10.29,1553459466.0
nemuro,jp,2128975.0,43.32,145.57,29.74,100.0,0.0,12.86,1553459661.0
atar,mr,2381334.0,20.52,-13.05,66.28,33.0,0.0,2.8,1553459675.0
kloulklubed,pw,7671223.0,7.04,134.26,73.4,94.0,75.0,3.36,1553457000.0
cururupu,br,3401148.0,-1.82,-44.87,78.79,88.0,92.0,6.15,1553459676.0
carberry,ca,5916706.0,49.87,-99.36,23.0,53.0,40.0,18.34,1553457600.0
coquimbo,cl,3893629.0,-29.95,-71.34,60.8,82.0,75.0,11.41,1553457600.0
mayumba,ga,2399001.0,-3.44,10.65,80.68,97.0,88.0,7.27,1553459677.0
fort nelson,ca,5955902.0,58.81,-122.69,46.4,52.0,20.0,8.05,1553457600.0
upernavik,gl,3418910.0,72.79,-56.15,1.12,100.0,0.0,26.17,1553459678.0
fort wellington,gy,3378690.0,6.4,-57.6,80.95,93.0,0.0,14.2,1553459678.0
srednekolymsk,ru,2121025.0,67.46,153.71,-2.93,85.0,36.0,3.36,1553459678.0
carnarvon,au,2074865.0,-24.87,113.63,78.8,65.0,0.0,9.17,1553457600.0
sao joao da barra,br,3448903.0,-21.64,-41.05,80.6,69.0,40.0,6.93,1553457600.0
pedregal,pa,3703229.0,8.37,-82.43,79.66,52.0,20.0,10.29,1553459398.0
bitkine,td,2435124.0,11.98,18.21,79.15,32.0,12.0,6.93,1553459680.0
bongaree,au,2174933.0,-27.08,153.16,71.47,94.0,20.0,5.82,1553459449.0
taoudenni,ml,2450173.0,22.68,-3.98,74.65,27.0,64.0,1.57,1553459468.0
los llanos de aridane,es,2514651.0,28.66,-17.92,59.49,59.0,75.0,2.24,1553459402.0
mount gambier,au,2156643.0,-37.83,140.78,51.8,62.0,40.0,20.8,1553458740.0
rio gallegos,ar,3838859.0,-51.62,-69.22,66.2,42.0,40.0,10.29,1553457600.0
saint-augustin,ca,6138501.0,45.63,-73.98,35.62,80.0,90.0,6.93,1553459626.0
praia,cv,3374333.0,14.92,-23.51,71.6,56.0,20.0,13.87,1553457600.0
leningradskiy,ru,2123814.0,69.38,178.42,0.4,94.0,56.0,7.05,1553459634.0
buala,sb,2109528.0,-8.15,159.59,83.02,88.0,76.0,6.15,1553459683.0
luderitz,na,3355672.0,-26.65,15.16,60.7,91.0,36.0,13.76,1553459532.0
panguipulli,cl,3877348.0,-39.64,-72.33,72.36,43.0,0.0,9.17,1553459548.0
reo,bf,2356228.0,12.32,-2.47,83.2,28.0,8.0,6.38,1553459684.0
atherton,au,2177541.0,-17.27,145.48,72.32,94.0,40.0,6.93,1553459594.0
poum,nc,2138555.0,-20.23,164.02,80.14,100.0,24.0,11.41,1553459684.0
tiksi,ru,2015306.0,71.64,128.87,-14.36,43.0,32.0,2.68,1553459587.0
usinsk,ru,863061.0,66.0,57.56,32.98,90.0,88.0,13.87,1553459685.0
kieta,pg,2094027.0,-6.22,155.63,78.88,100.0,12.0,4.03,1553459685.0
esperance,au,2071860.0,-33.86,121.89,57.2,62.0,90.0,6.93,1553457600.0
ozernovskiy,ru,2122293.0,51.5,156.52,24.25,91.0,88.0,9.95,1553459686.0
kokopo,pg,2093685.0,-4.34,152.27,77.17,100.0,56.0,0.22,1553459686.0
mar del plata,ar,3863379.0,-46.43,-67.52,64.84,57.0,12.0,7.61,1553459687.0
mehamn,no,778707.0,71.03,27.85,33.8,86.0,75.0,31.09,1553457000.0
amapa,br,3401225.0,-1.83,-56.23,80.05,92.0,24.0,3.91,1553459688.0
doha,qa,290030.0,25.29,51.53,72.77,78.0,0.0,17.22,1553457600.0
gulu,ug,233346.0,2.77,32.3,72.04,68.0,20.0,5.26,1553459688.0
chokurdakh,ru,2126123.0,70.62,147.9,-13.01,60.0,20.0,3.13,1553459669.0
minot,us,5690532.0,48.23,-101.3,27.86,63.0,90.0,9.17,1553459451.0
nhulunbuy,au,2064735.0,-12.18,136.78,80.6,88.0,68.0,4.7,1553457600.0
najran,sa,103630.0,17.54,44.22,77.0,29.0,0.0,4.7,1553457600.0
souillac,mu,933995.0,-20.52,57.52,78.49,83.0,75.0,9.17,1553459639.0
santo tomas,pe,3696183.0,-3.8,-73.34,42.8,319.0,75.0,4.7,1553457600.0
yuancheng,cn,1786110.0,36.65,107.79,21.37,62.0,48.0,2.91,1553459691.0
kropotkin,ru,540761.0,45.43,40.58,32.0,81.0,0.0,9.62,1553459417.0
la rioja,ar,3848950.0,-29.41,-66.86,77.17,64.0,20.0,4.25,1553459691.0
saint-philippe,re,935215.0,-21.36,55.77,77.14,74.0,40.0,2.24,1553459507.0
roma,au,2151187.0,-26.57,148.79,70.6,66.0,36.0,11.07,1553459692.0
gold coast,au,2165087.0,-28.0,153.41,72.41,94.0,12.0,11.41,1553459599.0
dikson,ru,1507390.0,73.51,80.55,22.18,94.0,80.0,36.57,1553459693.0
pevek,ru,2122090.0,69.7,170.27,-6.35,86.0,32.0,10.4,1553459632.0
butaritari,ki,2110227.0,3.07,172.79,82.75,100.0,76.0,8.39,1553459547.0
mizan teferi,et,330534.0,6.99,35.58,66.64,76.0,76.0,4.59,1553459694.0
kavaratti,in,1267390.0,10.57,72.64,83.47,100.0,0.0,2.8,1553459694.0
teguldet,ru,1489822.0,57.31,88.17,26.5,92.0,56.0,3.91,1553459694.0
zhigansk,ru,2012530.0,66.77,123.37,-4.91,81.0,0.0,6.38,1553459695.0
shubarshi,kz,608270.0,48.59,57.19,43.96,77.0,56.0,14.2,1553459695.0
isla mujeres,mx,3526756.0,21.23,-86.73,80.29,65.0,75.0,4.7,1553459584.0
kulhudhuffushi,mv,1337613.0,6.62,73.07,83.83,100.0,0.0,9.73,1553459695.0
carbonear,ca,5916722.0,47.73,-53.24,35.31,80.0,20.0,21.92,1553459612.0
paciran,id,1633442.0,-6.9,112.33,73.48,96.0,32.0,3.24,1553459696.0
port alfred,za,964432.0,-33.59,26.89,71.01,95.0,80.0,5.01,1553459504.0
yarada,in,1252783.0,17.65,83.27,78.8,83.0,20.0,2.24,1553457600.0
haines junction,ca,5969025.0,60.75,-137.51,39.64,50.0,0.0,3.02,1553459697.0
bileca,ba,3204161.0,42.87,18.43,52.63,66.0,0.0,4.7,1553459400.0
split,hr,3190261.0,43.51,16.44,51.48,66.0,0.0,3.36,1553459465.0
necochea,ar,3430443.0,-38.55,-58.74,56.71,80.0,92.0,8.99,1553459214.0
wuning,cn,7071576.0,29.26,120.23,47.02,99.0,92.0,2.91,1553459698.0
graciano sanchez,mx,3527413.0,23.92,-99.28,89.6,35.0,5.0,16.11,1553456400.0
punta alta,ar,3429886.0,-27.46,-55.82,84.83,40.0,20.0,6.93,1553457600.0
talnakh,ru,1490256.0,69.49,88.39,14.71,86.0,88.0,8.16,1553459699.0
bauchi,ng,2347470.0,10.31,9.85,74.29,56.0,56.0,2.57,1553459700.0
abalak,ne,2448245.0,15.46,6.28,82.48,21.0,44.0,11.07,1553459700.0
east london,za,1006984.0,-33.02,27.91,68.0,88.0,0.0,9.17,1553454000.0
ninh binh,vn,1571968.0,20.25,105.97,65.11,100.0,92.0,3.91,1553459701.0
fortuna,us,5563839.0,40.6,-124.16,58.77,100.0,1.0,18.34,1553459622.0
prieska,za,964090.0,-29.67,22.74,69.88,26.0,0.0,6.93,1553459702.0
bambous virieux,mu,1106677.0,-20.34,57.76,78.57,83.0,75.0,9.17,1553459639.0
alice springs,au,2077895.0,-23.7,133.88,75.2,78.0,40.0,12.75,1553457600.0
buraydah,sa,107304.0,26.33,43.97,80.6,34.0,56.0,9.17,1553457600.0
kodiak,us,4407665.0,39.95,-94.76,53.76,100.0,90.0,6.93,1553459625.0
alta floresta,br,6316343.0,-9.87,-56.08,79.06,92.0,44.0,1.79,1553459704.0
bar harbor,us,4957320.0,44.39,-68.2,46.9,34.0,1.0,5.82,1553459703.0
talaya,ru,1485724.0,55.79,84.89,30.9,74.0,0.0,4.47,1553459427.0
nouakchott,mr,2377450.0,18.08,-15.98,66.2,77.0,0.0,19.46,1553457600.0
nha trang,vn,1572151.0,12.24,109.19,78.8,88.0,20.0,5.82,1553457600.0
acajutla,sv,3587498.0,13.59,-89.83,86.0,28.0,0.0,1.99,1553459417.0
jatiroto,id,1631992.0,-6.89,111.01,73.57,100.0,92.0,4.92,1553459706.0
jining,cn,1805518.0,35.41,116.58,53.01,32.0,64.0,1.01,1553459498.0
nishihara,jp,1850144.0,35.74,139.53,40.03,64.0,90.0,4.7,1553459703.0
victoria,sc,241131.0,-4.62,55.45,82.4,83.0,40.0,4.7,1553457600.0
ha tinh,vn,1581047.0,18.33,105.9,71.23,100.0,92.0,10.63,1553459708.0
mananjary,mg,1056151.0,-19.16,46.8,62.86,97.0,92.0,2.91,1553459708.0
boende,cd,218680.0,-0.28,20.88,76.09,90.0,48.0,2.35,1553459709.0
maldonado,uy,3441894.0,-34.91,-54.96,66.2,63.0,75.0,23.04,1553457600.0
severo-kurilsk,ru,2121385.0,50.68,156.12,25.78,100.0,36.0,13.76,1553459630.0
aripuana,br,3665202.0,-9.17,-60.63,82.03,85.0,12.0,2.68,1553459482.0
fethiye,tr,314967.0,36.62,29.12,53.17,26.0,0.0,23.04,1553458546.0
sur,om,286245.0,22.57,59.53,71.86,100.0,24.0,12.97,1553459637.0
freeport,us,4893171.0,42.3,-89.62,45.54,93.0,90.0,6.04,1553459414.0
maneadero,mx,3996737.0,31.72,-116.57,67.77,76.0,20.0,5.01,1553459379.0
salalah,om,286621.0,17.01,54.1,78.8,78.0,20.0,8.05,1553457000.0
vila franca do campo,pt,3372472.0,37.72,-25.43,56.93,77.0,20.0,8.05,1553459635.0
abha,sa,110690.0,18.22,42.5,65.34,68.0,0.0,4.7,1553457600.0
kutum,sd,371745.0,14.2,24.66,73.3,19.0,0.0,11.07,1553459712.0
kahului,us,5847411.0,20.89,-156.47,73.98,61.0,75.0,18.34,1553459561.0
trinidad,co,3666719.0,5.41,-71.66,92.29,44.0,0.0,7.83,1553459713.0
piranhas,br,3403344.0,-9.61,-37.76,91.4,49.0,20.0,3.36,1553454000.0
honningsvag,no,779554.0,70.98,25.97,29.38,97.0,76.0,20.36,1553459713.0
san isidro,ph,1689750.0,11.41,124.35,78.97,97.0,0.0,14.76,1553459714.0
ostrovnoy,ru,556268.0,68.05,39.51,30.64,90.0,88.0,14.2,1553459714.0
nekrasovka,ru,2019388.0,48.35,135.23,17.6,61.0,0.0,4.47,1553457600.0
kaniama,cd,214389.0,-7.57,24.18,68.98,96.0,32.0,2.68,1553459715.0
beringovskiy,ru,2126710.0,63.05,179.32,28.57,91.0,12.0,5.48,1553459715.0
santa rosalia,mx,3991622.0,28.71,-111.6,85.68,12.0,5.0,4.7,1553459597.0
porto walter,br,3662761.0,-8.27,-72.74,89.68,57.0,8.0,2.91,1553459716.0
thinadhoo,mv,1337610.0,0.53,72.93,83.65,100.0,92.0,8.84,1553459476.0
kazanskaya,ru,551439.0,45.41,40.44,32.0,81.0,0.0,9.62,1553459417.0
paamiut,gl,3421193.0,61.99,-49.67,37.57,77.0,48.0,37.13,1553459717.0
havre-saint-pierre,ca,5972291.0,50.23,-63.6,28.4,36.0,40.0,27.51,1553457600.0
przasnysz,pl,761218.0,53.02,20.88,40.32,64.0,0.0,2.24,1553459580.0
longyearbyen,sj,2729907.0,78.22,15.64,8.6,71.0,20.0,9.17,1553457000.0
cockburn town,tc,3576994.0,21.46,-71.14,78.97,97.0,0.0,16.89,1553459718.0
vila do maio,cv,3374120.0,15.13,-23.22,71.6,56.0,20.0,13.87,1553457600.0
pathein,mm,1328421.0,16.78,94.73,73.39,93.0,8.0,6.71,1553459719.0
saint-pierre,pm,3424934.0,46.77,-56.17,33.31,69.0,40.0,34.45,1553457600.0
tuy hoa,vn,1563281.0,13.08,109.3,76.18,90.0,88.0,4.92,1553459720.0
denpasar,id,1645528.0,-8.65,115.22,77.0,94.0,75.0,3.36,1553457600.0
kautokeino,no,779330.0,69.01,23.04,22.36,77.0,12.0,9.17,1553459720.0
coahuayana,mx,3981460.0,18.62,-100.35,89.23,20.0,0.0,3.02,1553459721.0
arman,ru,2127060.0,59.7,150.17,-4.1,61.0,8.0,3.58,1553459721.0
gusau,ng,2339937.0,12.17,6.66,75.46,30.0,0.0,6.6,1553459722.0
tautira,pf,4033557.0,-17.73,-149.15,87.37,70.0,75.0,3.36,1553459585.0
glendive,us,5654391.0,47.11,-104.71,36.37,86.0,90.0,13.87,1553458500.0
aswan,eg,359792.0,24.09,32.9,70.06,34.0,88.0,9.28,1553459723.0
faanui,pf,4034551.0,-16.48,-151.75,85.72,96.0,44.0,14.54,1553459501.0
nerchinskiy zavod,ru,2019323.0,51.31,119.61,11.74,40.0,0.0,9.62,1553459723.0
labuhan,id,1641899.0,-2.54,115.51,73.3,95.0,20.0,1.23,1553459724.0
sandovo,ru,498856.0,58.46,36.41,30.91,94.0,44.0,8.61,1553459724.0
chapais,ca,5919850.0,49.78,-74.86,10.4,30.0,1.0,11.41,1553457600.0
kawalu,id,1640902.0,-7.38,108.21,65.29,92.0,48.0,1.57,1553459725.0
teya,ru,1489656.0,60.37,92.63,23.08,95.0,80.0,2.46,1553459726.0
aleppo,sy,170063.0,36.2,37.17,45.31,82.0,36.0,4.92,1553459513.0
pokhara,np,1282898.0,28.21,83.99,52.6,67.0,0.0,4.25,1553459726.0
visby,se,2662689.0,57.64,18.3,39.06,84.0,0.0,11.41,1553459405.0
baijiantan,cn,1529626.0,45.63,85.18,32.44,88.0,92.0,1.12,1553459727.0
bima,id,1648759.0,-8.45,118.73,77.26,96.0,76.0,3.36,1553459727.0
sola,vu,2134814.0,-13.88,167.55,77.44,100.0,92.0,4.92,1553459728.0
sorland,no,3137469.0,67.67,12.69,35.6,59.0,40.0,18.34,1553455200.0
belyy yar,ru,1510377.0,53.6,91.39,35.6,93.0,75.0,4.47,1553457600.0
meulaboh,id,1214488.0,4.14,96.13,76.54,100.0,0.0,4.03,1553459729.0
izumo,jp,1861084.0,35.37,132.75,42.8,70.0,75.0,4.7,1553457600.0
port lincoln,au,2063036.0,-34.72,135.86,61.42,89.0,44.0,23.49,1553459730.0
viedma,ar,3832899.0,-40.81,-62.99,60.97,52.0,20.0,13.65,1553459730.0
lincoln,ar,3846864.0,-34.87,-61.53,69.43,51.0,0.0,10.74,1553459731.0
